Location,Price (RM),Rooms,Store,Bathrooms,Property Type,Size (sqft),Furnishing,Price/Sqft
82,2800000,4,1,6.0,9,5628.0,1,497.5124378109453
45,3900000,2,0,2.0,16,1636.0,1,2383.8630806845968
45,1300000,1,0,1.0,16,925.0,1,1405.4054054054054
45,1240000,1,0,1.0,16,850.0,0,1458.8235294117646
16,438000,3,0,2.0,8,1018.0,1,430.25540275049116
37,530000,3,1,2.0,16,900.0,1,588.8888888888889
70,590000,3,0,2.0,12,1196.0,1,493.31103678929765
45,1000000,1,0,1.0,12,751.0,1,1331.5579227696405
45,1900000,2,1,2.0,12,915.0,1,2076.502732240437
69,380000,3,1,2.0,12,950.0,2,400.0
45,1198000,1,1,1.0,16,764.0,0,1568.0628272251308
45,1000000,Studio,0,1.0,12,657.0,1,1522.0700152207
9,12000000,6,1,6.0,9,11500.0,1,1043.4782608695652
45,1780000,1,0,1.0,16,728.0,0,2445.054945054945
54,5900000,6,1,8.0,9,12722.0,1,463.76355918880677
75,1340000,4,1,6.0,4,24.0,1,55833.333333333336
