Location,Price (RM),Rooms,Bathrooms,Car Parks,Property Type,Size (sqft),Furnishing
26,1350000,4,4.0,3.0,12,2070.0,2
26,475000,3,2.0,1.0,12,1100.0,0
33,475000,3,2.0,1.0,12,1100.0,1
33,570000,3,2.0,1.0,12,1295.0,1
34,780000,1,2.0,1.0,16,972.0,0
58,350000,3,2.0,1.0,8,900.0,2
33,800000,3,2.0,2.0,12,1590.0,1
33,1300000,4,4.0,2.0,12,2190.0,1
33,630000,3,2.0,2.0,12,1295.0,1
33,630000,3,2.0,2.0,12,1400.0,1
33,440000,3,2.0,1.0,12,1100.0,1
26,830000,3,3.0,2.0,12,1580.0,1
26,485000,3,2.0,2.0,12,1100.0,0
26,460000,3,2.0,1.0,12,1100.0,1
33,735000,3,2.0,1.0,12,1470.0,1
33,585000,3,2.0,1.0,12,1295.0,1
26,1180000,3,3.0,3.0,12,1799.0,2
33,1000000,4,4.0,2.0,12,2190.0,1
33,850000,3,2.0,2.0,12,1590.0,1
47,990000,3,3.0,2.0,12,1400.0,0
40,4720000,2,2.0,2.0,12,1399.0,1
41,1950000,5,5.0,4.0,15,35.0,1
41,598000,2,3.0,3.0,2,16.0,1
41,728000,4,3.0,3.0,2,20.0,1
59,390000,3,2.0,4.0,4,750.0,1
41,1180000,6,5.0,3.0,4,20.0,1
41,535000,3,2.0,3.0,0,20.0,2
41,598000,3,2.0,3.0,2,16.0,1
41,668000,3,2.0,4.0,0,22.0,3
41,1050000,4,2.0,5.0,0,42.0,1
59,390000,3,2.0,3.0,3,600.0,2
32,1150000,3,4.0,2.0,12,1875.0,1
58,690000,3,3.0,2.0,12,1298.0,1
11,900000,3,2.0,2.0,16,1218.0,2
22,5100000,4,3.0,6.0,10,7600.0,1
22,5100000,4,3.0,6.0,9,7600.0,1
18,500000,3,2.0,2.0,12,1142.0,2
18,480000,3,2.0,1.0,12,1142.0,2
18,470000,3,2.0,1.0,12,1142.0,2
18,490000,3,2.0,2.0,12,1142.0,2
11,2600000,4,6.0,3.0,12,3260.0,1
58,710000,3,3.0,2.0,12,1391.0,1
18,655000,4,3.0,2.0,2,20.0,1
1,1900000,4,3.0,4.0,2,2700.0,1
40,690000,2,2.0,1.0,12,919.0,0
11,419999,3,2.0,1.0,8,950.0,1
63,3100000,4,5.0,3.0,12,3466.0,0
5,6500000,3,4.0,4.0,9,8090.0,0
40,4550000,2,2.0,2.0,12,1345.0,1
45,810000,3,2.0,2.0,12,1150.0,1
18,500000,3,3.0,1.0,12,1010.0,1
5,5000000,5,7.0,3.0,9,8633.0,1
32,680000,3,2.0,2.0,16,1094.0,1
1,3600000,5,6.0,4.0,15,6441.0,1
26,1450000,4,4.0,3.0,12,2070.0,1
0,738000,5,4.0,2.0,12,3000.0,1
0,780000,1,2.0,2.0,16,1018.0,1
9,1000000,3,3.0,1.0,16,1066.0,0
1,1048800,1,1.0,1.0,12,686.0,1
1,1307800,2,2.0,1.0,12,848.0,1
64,399000,4,2.0,1.0,2,14.0,1
5,615000,3,2.0,1.0,12,1315.0,1
41,350000,3,2.0,1.0,8,850.0,2
41,2900000,6,6.0,6.0,15,3600.0,1
33,438000,3,2.0,1.0,12,1100.0,1
41,1250000,4,2.0,4.0,0,2940.0,1
41,1250000,5,5.0,5.0,4,22.0,0
41,1000000,9,5.0,4.0,4,22.0,0
3,650000,3,2.0,1.0,12,1316.0,0
3,618000,3,3.0,2.0,12,1310.0,0
3,680000,3,2.0,2.0,12,1316.0,0
3,830000,5,3.0,2.0,12,1635.0,0
31,2300000,6,5.0,2.0,4,4480.0,1
3,680000,4,3.0,2.0,12,1635.0,1
32,380000,3,2.0,1.0,12,1100.0,0
32,400000,3,2.0,1.0,12,1100.0,1
41,648000,8,3.0,4.0,1,22.0,2
41,1780000,6,4.0,2.0,2,40.0,0
3,948000,3,3.0,4.0,2,22.0,1
41,530000,3,2.0,2.0,0,1430.0,2
3,590000,3,2.0,2.0,2,16.0,1
18,520000,3,2.0,2.0,12,962.0,1
24,800000,1,1.0,1.0,12,904.0,1
67,1580000,4,3.0,2.0,2,1650.0,1
33,680000,3,2.0,1.0,12,1260.0,0
3,670000,4,3.0,2.0,12,1316.0,1
47,930000,3,2.0,1.0,12,1400.0,0
3,730000,3,3.0,2.0,12,1316.0,1
32,330000,3,2.0,1.0,12,942.0,2
40,1270000,2,2.0,1.0,16,1050.0,0
40,1538000,2,2.0,1.0,16,1399.0,0
40,1360000,2,2.0,2.0,12,873.0,1
18,355000,3,2.0,1.0,12,920.0,1
45,318000,3,2.0,1.0,12,1065.0,1
18,399000,3,2.0,1.0,12,1060.0,1
18,368000,3,2.0,2.0,12,960.0,1
18,665000,3,3.0,2.0,16,1054.0,1
65,600000,3,2.0,3.0,12,1044.0,2
32,399000,3,2.0,1.0,16,950.0,1
18,880000,3,2.0,2.0,12,1381.0,0
40,1556000,3,2.0,2.0,12,1031.0,1
33,898000,3,4.0,2.0,12,1590.0,0
33,830000,3,3.0,2.0,12,1590.0,0
33,1100000,3,3.0,2.0,12,1800.0,0
33,1000000,5,4.0,2.0,12,2190.0,0
40,4300000,4,5.0,2.0,12,3973.0,0
40,2700000,3,5.0,2.0,12,3109.0,1
26,1350000,2,2.0,1.0,16,1238.0,0
26,1280000,3,2.0,1.0,16,1238.0,0
26,560000,3,2.0,1.0,12,1100.0,0
26,1350000,2,2.0,1.0,16,1236.0,0
58,470000,3,3.0,1.0,17,1600.0,2
5,1980000,5,4.0,2.0,12,2745.0,1
61,500000,4,2.0,1.0,12,1272.0,1
11,2330000,5,6.0,3.0,4,3272.0,1
18,2000000,5,4.0,3.0,4,2335.0,1
37,1150000,3,2.0,2.0,16,1281.0,0
33,615000,3,2.0,1.0,12,1200.0,0
11,520000,3,3.0,2.0,12,1003.0,1
47,1120000,2,2.0,1.0,16,973.0,1
47,1090000,2,2.0,1.0,16,907.0,0
47,2420000,3,3.0,2.0,16,2452.0,1
47,2310000,3,3.0,2.0,16,2273.0,1
37,500000,2,1.0,1.0,12,1066.0,0
26,690000,1,1.0,1.0,16,672.0,0
26,485000,3,2.0,1.0,12,1326.0,1
68,1250000,4,3.0,2.0,2,22.0,1
18,880000,3,2.0,2.0,16,1164.0,1
37,950000,2,2.0,1.0,16,674.0,0
68,1200000,5,3.0,2.0,2,22.0,0
61,458000,3,2.0,2.0,12,1350.0,2
61,480000,2,2.0,2.0,16,1020.0,2
47,1120000,4,3.0,2.0,16,1650.0,0
32,700000,3,2.0,1.0,16,978.0,2
26,880000,3,3.0,2.0,12,1467.0,2
26,1180000,3,5.0,2.0,12,1942.0,2
18,575000,3,2.0,2.0,12,1018.0,1
26,1100000,3,4.0,3.0,12,1799.0,1
45,880000,3,3.0,2.0,12,1948.0,2
68,2100000,4,3.0,2.0,2,53.0,1
40,1000000,3,3.0,2.0,16,1206.0,0
7,580000,3,2.0,2.0,16,975.0,1
18,550000,4,3.0,1.0,12,1280.0,1
18,435000,3,2.0,2.0,12,970.0,0
18,399000,3,2.0,1.0,12,910.0,0
18,590000,3,2.0,2.0,12,1394.0,0
0,1100000,2,2.0,1.0,16,887.0,0
34,550000,1,1.0,1.0,16,625.0,0
18,547000,3,2.0,1.0,12,1394.0,1
18,505000,4,2.0,2.0,12,1142.0,1
45,530000,3,2.0,1.0,12,1120.0,1
9,1500000,4,3.0,2.0,16,1507.0,0
33,1150000,3,3.0,3.0,12,1950.0,0
40,2200000,3,4.0,2.0,12,2315.0,0
33,560000,3,2.0,1.0,12,1320.0,0
59,589000,3,2.0,2.0,12,1230.0,1
18,2500,4,4.0,1.0,17,2371.0,0
33,630000,3,2.0,2.0,12,1197.0,2
18,360000,3,2.0,1.0,12,920.0,1
60,870000,3,3.0,2.0,16,1402.0,0
18,620000,3,3.0,2.0,2,1441.0,2
32,805000,3,2.0,2.0,12,1392.0,0
11,900000,3,3.0,2.0,12,1457.0,1
45,398000,3,2.0,1.0,12,1132.0,1
11,630000,3,2.0,3.0,12,1073.0,1
18,438000,3,2.0,1.0,16,950.0,0
34,825000,2,2.0,1.0,16,924.0,0
34,888000,3,2.0,1.0,16,1120.0,0
0,760000,2,2.0,1.0,16,950.0,0
32,598000,4,3.0,1.0,12,1200.0,0
57,680000,3,2.0,2.0,16,1089.0,1
31,630000,3,2.0,1.0,12,1037.0,2
32,500000,3,2.0,2.0,12,1240.0,1
57,428000,2,1.0,2.0,16,565.0,1
65,1030000,5,4.0,2.0,4,20.0,1
64,720000,3,3.0,4.0,2,2000.0,2
64,1180000,4,4.0,3.0,2,22.0,1
11,398000,3,2.0,1.0,8,1098.0,1
61,478000,3,2.0,2.0,12,1333.0,1
0,530000,1,1.0,1.0,16,680.0,0
76,450000,1,1.0,2.0,12,790.0,0
61,490000,3,2.0,13.0,12,1350.0,2
26,930000,2,2.0,1.0,16,1145.0,1
9,1200000,2,2.0,1.0,16,948.0,0
47,1050000,3,3.0,2.0,16,1697.0,0
41,630000,3,2.0,2.0,0,20.0,1
47,1850000,3,4.0,3.0,12,4125.0,0
18,1150000,4,3.0,5.0,2,32.0,2
11,290000,2,2.0,1.0,8,732.0,1
41,850000,3,2.0,2.0,0,20.0,1
68,1550000,3,4.0,2.0,12,1784.0,0
61,460000,3,2.0,2.0,12,1207.0,0
47,990000,2,2.0,1.0,16,932.0,0
9,16000,3,5.0,2.0,12,3600.0,0
61,380000,4,2.0,2.0,12,950.0,2
65,830000,2,2.0,2.0,16,1259.0,0
9,1290000,3,2.0,1.0,16,1555.0,0
52,280000,1,1.0,1.0,12,450.0,1
31,580000,3,2.0,2.0,12,1037.0,1
0,740000,3,2.0,1.0,16,950.0,0
11,630000,3,3.0,2.0,12,1246.0,1
58,690000,3,2.0,2.0,12,1262.0,1
58,630000,3,2.0,2.0,12,1091.0,2
26,1450000,2,2.0,2.0,14,1181.0,0
45,440000,3,2.0,1.0,16,935.0,1
32,695000,3,2.0,2.0,12,935.0,1
45,520000,3,2.0,2.0,12,1120.0,0
11,2600000,4,6.0,3.0,12,3260.0,1
32,880000,3,3.0,2.0,12,1300.0,0
32,810000,3,2.0,2.0,12,1488.0,1
9,605000,0,1.0,1.0,16,550.0,0
45,540000,3,2.0,1.0,12,1120.0,1
11,450000,3,2.0,1.0,12,1460.0,1
18,550000,3,2.0,2.0,12,1050.0,2
68,3688000,5,5.0,5.0,9,5403.0,1
40,2400000,1,2.0,1.0,16,1076.0,1
61,358000,3,2.0,2.0,16,856.0,2
9,828000,2,2.0,1.0,16,1044.0,0
11,548000,3,2.0,2.0,12,1050.0,1
32,370000,3,2.0,1.0,16,950.0,1
18,300000,3,2.0,1.0,12,820.0,2
26,428000,3,2.0,1.0,12,850.0,1
11,570000,2,2.0,2.0,12,1032.0,1
40,5000,3,4.0,1.0,12,1600.0,0
65,520000,3,2.0,1.0,12,1180.0,1
65,500000,3,2.0,2.0,12,1074.0,1
26,490000,3,2.0,1.0,12,1100.0,1
68,1380000,3,3.0,2.0,12,1712.0,0
32,415000,2,2.0,1.0,16,751.0,1
58,458000,3,2.0,2.0,3,14.0,2
63,3000000,4,5.0,3.0,15,4324.0,1
63,3290000,3,4.0,3.0,12,3691.0,1
47,4200000,5,5.0,3.0,15,4800.0,1
47,3600000,4,6.0,3.0,6,24.0,1
47,2350000,4,4.0,5.0,12,3050.0,1
47,4500000,5,6.0,3.0,5,4304.0,0
47,2250000,4,5.0,3.0,12,2973.0,2
73,5300000,6,7.0,6.0,9,7319.0,1
73,920000,3,2.0,1.0,12,1350.0,1
73,1300000,3,3.0,2.0,12,1825.0,0
0,2100000,3,4.0,2.0,12,1632.0,0
5,2980000,4,4.0,2.0,2,3300.0,2
18,395000,3,2.0,1.0,12,927.0,0
0,2400000,3,4.0,2.0,12,1800.0,0
32,620000,2,2.0,1.0,16,852.0,1
47,2550000,4,5.0,3.0,12,2906.0,1
47,1250000,3,3.0,2.0,12,1641.0,0
47,2700000,4,5.0,3.0,12,3541.0,1
18,310000,0,1.0,1.0,16,610.0,0
47,1750000,4,5.0,3.0,12,2726.0,0
18,850000,4,3.0,2.0,2,22.0,0
47,2700000,4,5.0,3.0,12,3980.0,1
18,365000,3,2.0,1.0,12,1126.0,1
18,460000,3,2.0,1.0,16,1100.0,0
18,348000,2,1.0,1.0,16,695.0,0
18,400000,2,2.0,1.0,16,916.0,0
47,1250000,3,3.0,2.0,12,1703.0,0
68,630000,3,2.0,1.0,16,935.0,2
60,628000,2,2.0,2.0,12,1021.0,0
60,5500000,5,6.0,3.0,9,4844.0,1
60,8000000,5,7.0,6.0,9,7166.0,2
60,1700000,4,3.0,2.0,2,2293.0,1
60,1650000,5,3.0,2.0,4,1600.0,1
60,1700000,4,4.0,2.0,4,1600.0,1
60,3900000,5,4.0,4.0,9,8288.0,1
60,2500000,5,4.0,6.0,9,7000.0,2
60,4800000,4,6.0,4.0,9,7900.0,1
71,3880000,5,6.0,2.0,9,4800.0,1
60,3500000,6,4.0,4.0,9,6800.0,1
45,520000,3,2.0,2.0,12,1313.0,2
60,5500000,6,6.0,6.0,9,5963.0,1
60,1200000,3,4.0,2.0,12,1798.0,0
60,1600000,4,3.0,2.0,4,22.0,1
60,5000000,6,4.0,4.0,9,5280.0,1
60,2300000,4,4.0,2.0,2,2200.0,1
60,1680000,2,3.0,2.0,12,2800.0,0
19,1550000,1,1.0,1.0,16,1131.0,0
23,800000,2,2.0,2.0,16,1076.0,0
40,880000,0,1.0,1.0,16,493.0,0
19,2178900,2,2.0,1.0,16,1614.0,0
40,1100000,2,2.0,1.0,16,915.0,1
41,985000,3,2.0,1.0,0,3200.0,2
47,1020000,3,3.0,1.0,12,1556.0,0
19,2090000,2,3.0,1.0,12,2321.0,1
0,4800000,4,5.0,3.0,12,3710.0,1
57,585000,2,2.0,2.0,16,845.0,0
40,4000,3,3.0,2.0,12,1807.0,0
1,5200000,5,6.0,4.0,12,4400.0,2
71,3278000,5,6.0,6.0,9,35.0,1
9,3000,3,2.0,1.0,12,1575.0,0
19,1650000,5,6.0,2.0,12,2375.0,0
47,1750000,4,4.0,3.0,12,2700.0,1
22,6188720,4,6.0,2.0,16,3132.0,1
61,598000,3,2.0,1.0,2,16.0,2
47,1000000,2,2.0,2.0,16,1600.0,0
58,168000,2,2.0,1.0,8,755.0,1
60,700000,3,3.0,1.0,12,1500.0,1
58,225000,3,2.0,1.0,8,855.0,1
60,980000,4,4.0,2.0,12,2616.0,1
68,1350000,3,3.0,2.0,12,1712.0,1
26,2500000,6,6.0,3.0,15,3860.0,0
7,168000,3,2.0,1.0,8,776.0,2
5,1500000,3,4.0,1.0,12,1977.0,0
47,800000,3,2.0,1.0,16,1294.0,0
47,650000,3,2.0,2.0,12,1015.0,2
31,398000,3,2.0,1.0,8,855.0,1
31,265000,3,2.0,2.0,8,855.0,1
59,850000,3,4.0,3.0,12,1381.0,0
26,2400000,5,6.0,3.0,9,4333.0,0
5,1080000,2,2.0,1.0,12,1200.0,0
58,175000,2,2.0,1.0,8,755.0,2
11,620000,2,2.0,2.0,16,791.0,1
11,520000,2,1.0,1.0,16,667.0,1
68,1650000,4,4.0,2.0,12,2200.0,1
61,390000,3,2.0,1.0,16,1009.0,2
61,550000,3,2.0,2.0,16,1260.0,2
61,360000,2,2.0,2.0,16,859.0,2
37,540000,2,2.0,1.0,16,750.0,0
37,320000,0,1.0,1.0,16,350.0,0
47,1579750,3,20.0,1.0,16,1775.0,1
59,568000,3,2.0,1.0,12,1079.0,1
47,1209600,2,2.0,1.0,16,945.0,0
26,1199494,1,1.0,1.0,16,677.0,2
73,13600000,7,9.0,2.0,9,16000.0,1
71,2500000,4,3.0,2.0,15,7200.0,1
47,3700000,5,5.0,3.0,16,3620.0,1
47,1125000,2,2.0,1.0,16,886.0,0
5,1900000,3,3.0,2.0,2,25.0,1
57,750000,3,2.0,2.0,16,1122.0,2
37,4000,3,3.0,2.0,12,1807.0,0
59,1000000,3,3.0,2.0,12,1569.0,0
26,588000,3,3.0,1.0,12,1400.0,1
11,630000,3,3.0,2.0,12,1069.0,1
0,9800000,4,5.0,4.0,12,7500.0,1
48,5900000,5,6.0,15.0,9,16145.0,0
40,870000,2,2.0,1.0,16,850.0,0
18,470000,3,2.0,1.0,12,1142.0,1
18,480000,1,2.0,1.0,16,719.0,1
73,2900,1,1.0,1.0,16,840.0,0
5,11752100,5,7.0,5.0,12,6913.0,1
73,1600000,3,3.0,2.0,16,1373.0,0
11,530000,3,2.0,1.0,12,1224.0,0
40,915000,1,1.0,1.0,16,655.0,0
32,420000,2,2.0,1.0,12,985.0,0
40,2050000,3,3.0,2.0,16,1798.0,0
18,660000,5,3.0,2.0,2,22.0,3
19,690000,3,2.0,1.0,12,1200.0,0
22,7000000,6,7.0,3.0,9,2765.0,0
5,4600000,3,4.0,3.0,12,3239.0,1
32,3300000,6,5.0,6.0,9,9563.0,1
32,315000,3,2.0,1.0,12,820.0,2
3,680000,3,3.0,2.0,12,1316.0,0
0,475000,3,2.0,2.0,2,14.0,1
50,520000,4,3.0,2.0,2,18.0,1
45,310000,3,2.0,1.0,12,1076.0,1
0,435000,3,3.0,2.0,4,16.0,1
18,938000,4,3.0,2.0,2,20.0,1
53,430000,3,2.0,1.0,12,1088.0,1
18,330000,3,2.0,1.0,12,861.0,1
4,280000,3,2.0,1.0,8,854.0,2
26,528000,4,3.0,1.0,12,1473.0,0
5,3880000,4,6.0,2.0,12,3600.0,1
22,1780000,4,5.0,2.0,16,2078.0,0
37,435000,3,2.0,1.0,12,1070.0,2
22,1620000,1,2.0,1.0,16,1194.0,1
58,900000,3,2.0,2.0,12,1300.0,1
58,840000,3,2.0,2.0,12,1319.0,1
58,850000,3,2.0,2.0,12,1319.0,1
0,50000000,7,8.0,4.0,9,6617.0,0
58,930000,3,2.0,2.0,12,1306.0,1
58,950000,3,2.0,2.0,12,1300.0,1
58,900000,3,2.0,2.0,12,1306.0,1
9,1465000,1,2.0,2.0,12,998.0,1
76,850000,3,3.0,3.0,12,1518.0,1
41,450000,3,2.0,1.0,8,1100.0,0
61,570000,3,2.0,2.0,16,1207.0,1
63,865000,3,3.0,1.0,12,1675.0,0
61,560000,4,2.0,2.0,12,1600.0,0
47,4000000,5,5.0,3.0,12,5733.0,1
47,2380000,4,4.0,3.0,12,3055.0,1
47,1780000,3,3.0,2.0,12,2580.0,1
68,6800000,6,8.0,6.0,12,7987.0,2
47,1950000,3,2.0,2.0,12,3000.0,0
9,760000,1,1.0,1.0,16,696.0,0
11,2500000,4,4.0,2.0,3,25.0,1
11,2180000,5,4.0,2.0,3,34.0,1
26,500000,3,2.0,1.0,12,1100.0,0
76,925000,3,3.0,2.0,12,1551.0,1
41,520000,3,2.0,1.0,12,,0
47,1100000,3,3.0,2.0,12,1605.0,0
47,1170000,3,3.0,2.0,12,1605.0,0
47,1180000,3,3.0,2.0,12,1605.0,0
73,1460000,3,3.0,2.0,12,1836.0,0
39,980000,2,1.0,1.0,12,811.0,1
47,1080000,3,3.0,3.0,12,1500.0,0
40,1113700,2,2.0,1.0,12,1591.0,1
18,1550000,5,4.0,4.0,4,42.0,1
40,1085700,2,2.0,1.0,12,1551.0,1
40,1502900,2,3.0,1.0,12,2174.0,1
47,850000,3,2.0,1.0,16,1248.0,1
6,690000,2,2.0,1.0,16,815.0,0
47,2950000,5,6.0,4.0,12,3982.0,1
47,3020000,4,4.0,3.0,12,3729.0,1
47,2190000,3,4.0,3.0,12,2707.0,1
68,3700000,4,6.0,3.0,12,4526.0,2
47,3050000,5,6.0,2.0,3,2806.0,1
41,1180000,5,6.0,3.0,3,22.0,1
5,670000,0,1.0,1.0,16,671.0,0
41,370000,3,2.0,1.0,12,822.0,2
5,930000,2,2.0,1.0,16,1098.0,0
59,1200000,7,7.0,4.0,4,3500.0,1
47,2250000,4,4.0,3.0,12,3150.0,1
1,5010000,4,6.0,3.0,12,3950.0,1
68,465000,1,1.0,1.0,16,578.0,0
31,550000,3,2.0,2.0,12,1011.0,1
31,429900,2,1.0,1.0,12,698.0,0
31,560000,3,2.0,1.0,12,1011.0,0
31,620000,3,2.0,2.0,12,911.0,1
40,4200000,3,3.0,2.0,12,2250.0,1
18,630000,4,3.0,2.0,2,1650.0,1
47,1780000,4,4.0,2.0,12,2735.0,0
75,635000,3,2.0,1.0,16,1100.0,0
58,365000,3,2.0,1.0,8,920.0,1
33,520000,2,2.0,1.0,12,865.0,1
40,1230000,3,4.0,2.0,16,1378.0,1
40,1300000,3,4.0,3.0,16,1701.0,0
40,689000,0,1.0,1.0,16,689.0,1
40,899000,2,3.0,2.0,16,1055.0,1
40,1050000,2,3.0,2.0,16,1335.0,1
40,834974,1,2.0,1.0,16,969.0,1
40,660000,0,1.0,1.0,16,689.0,1
40,1474000,2,2.0,2.0,16,1485.0,1
40,1280000,3,4.0,2.0,16,1701.0,0
40,1400000,3,4.0,2.0,16,1701.0,1
40,1280000,3,3.0,2.0,16,1701.0,1
40,1350000,3,4.0,2.0,16,1701.0,1
40,850000,2,3.0,2.0,16,1055.0,1
40,1080000,2,3.0,2.0,16,1313.0,1
40,1050000,2,3.0,3.0,16,1313.0,0
40,750000,0,1.0,1.0,16,721.0,1
40,920000,2,3.0,2.0,16,1055.0,0
40,1150000,3,4.0,3.0,16,1701.0,1
40,890000,2,3.0,2.0,16,1055.0,0
40,1000000,2,3.0,2.0,16,1335.0,1
40,1150000,3,4.0,3.0,16,1378.0,1
40,900000,2,3.0,2.0,16,1055.0,0
40,1200000,3,4.0,2.0,16,1378.0,0
40,2150000,2,2.0,1.0,16,1076.0,0
40,528000,1,1.0,1.0,16,624.0,1
40,2282000,2,2.0,1.0,16,1087.0,0
52,270000,0,1.0,1.0,12,450.0,1
21,6480000,6,7.0,4.0,9,6307.0,0
26,3380000,6,7.0,4.0,15,54.0,1
41,1350000,4,4.0,2.0,2,29.0,1
24,2400000,5,6.0,2.0,4,22.0,1
3,380000,3,2.0,1.0,16,850.0,1
24,935000,2,2.0,2.0,12,1097.0,0
37,530000,2,2.0,1.0,16,753.0,0
37,600000,3,2.0,1.0,12,1090.0,0
9,580000,1,2.0,2.0,16,535.0,0
47,2600000,5,6.0,5.0,12,4500.0,1
11,610000,3,2.0,3.0,12,1281.0,2
40,2400000,3,4.0,2.0,12,3439.0,0
41,490000,3,2.0,1.0,12,1030.0,2
61,490000,3,2.0,1.0,12,1450.0,2
68,2700000,4,6.0,3.0,12,3729.0,2
76,395000,1,2.0,1.0,16,657.0,1
47,3300000,6,7.0,5.0,9,3090.0,1
11,628000,3,2.0,2.0,12,1236.0,1
11,618000,3,2.0,2.0,12,1232.0,1
11,750000,3,3.0,2.0,12,1293.0,1
47,590000,2,2.0,1.0,12,1238.0,1
40,2200000,1,2.0,1.0,16,1087.0,1
9,3980000,3,5.0,2.0,16,2405.0,0
47,2500000,4,6.0,3.0,12,3729.0,1
40,4200000,2,3.0,1.0,16,1668.0,1
40,1000000,1,1.0,1.0,12,753.0,0
33,310000,3,2.0,1.0,8,903.0,2
9,3600000,3,4.0,2.0,16,2013.0,0
19,610000,3,3.0,1.0,12,1300.0,0
11,428000,3,2.0,1.0,8,890.0,2
22,3800000,3,3.0,1.0,16,2702.0,1
22,2210850,2,2.0,1.0,16,1668.0,1
22,1650000,1,2.0,1.0,16,1184.0,1
22,1500000,1,1.0,1.0,16,904.0,1
32,730000,2,2.0,2.0,16,1148.0,1
19,3700000,3,5.0,2.0,12,3285.0,1
32,700000,2,2.0,1.0,16,1112.0,1
32,560000,2,2.0,1.0,16,763.0,1
32,610000,2,2.0,1.0,16,911.0,1
32,680000,3,2.0,2.0,16,814.0,0
32,718000,3,2.0,2.0,16,909.0,0
5,830000,2,2.0,1.0,12,1098.0,1
5,680000,1,1.0,1.0,12,624.0,1
5,1500000,3,3.0,2.0,12,1807.0,1
60,2500000,4,5.0,2.0,12,2900.0,0
60,720000,2,2.0,1.0,12,1022.0,1
47,3681000,4,5.0,3.0,12,4090.0,1
47,3480000,4,5.0,3.0,12,3720.0,1
47,3268000,4,5.0,3.0,12,3632.0,1
5,1600000,4,3.0,2.0,12,2239.0,1
61,498000,4,2.0,1.0,12,1272.0,1
60,890000,3,2.0,1.0,12,1305.0,1
5,1250000,3,2.0,3.0,12,1500.0,0
47,1350000,3,3.0,2.0,12,1603.0,1
40,2572800,3,4.0,2.0,12,2144.0,1
40,2357250,3,4.0,2.0,12,2245.0,1
40,2464350,3,4.0,2.0,12,2347.0,1
40,2715300,3,4.0,2.0,12,2586.0,1
40,3051300,3,4.0,2.0,12,2906.0,1
40,3341900,3,4.0,2.0,12,2906.0,1
75,3500000,4,4.0,3.0,9,6000.0,1
75,3200000,4,5.0,6.0,9,6000.0,2
24,1280000,2,2.0,2.0,12,1281.0,1
24,1308000,2,2.0,2.0,12,1346.0,1
24,1230000,2,2.0,2.0,12,1375.0,1
24,1280000,3,2.0,2.0,12,1561.0,1
68,220000,2,2.0,1.0,8,600.0,0
5,7680000,4,6.0,4.0,12,5200.0,1
5,4080000,3,5.0,3.0,12,3658.0,1
47,3899000,4,4.0,3.0,12,5090.0,1
47,2041942,4,4.0,3.0,12,2766.0,1
47,1657810,4,3.0,2.0,12,2163.0,1
22,1400000,1,1.0,1.0,16,904.0,1
41,538000,3,2.0,3.0,17,20.0,1
3,780000,3,2.0,2.0,12,1400.0,2
40,860000,0,1.0,1.0,16,743.0,0
22,12000000,5,9.0,8.0,9,8000.0,1
59,493600,4,2.0,2.0,16,1001.0,2
59,414600,3,2.0,1.0,16,850.0,2
68,2700000,4,5.0,7.0,12,3886.0,1
11,388000,3,2.0,1.0,8,1093.0,3
47,1680000,3,2.0,2.0,12,1778.0,0
59,690000,2,3.0,1.0,12,999.0,0
11,580000,3,2.0,2.0,12,1100.0,2
37,490000,4,2.0,2.0,12,1184.0,2
18,504600,4,2.0,2.0,12,1000.0,1
47,920000,3,4.0,2.0,12,1828.0,1
47,1100000,3,3.0,2.0,12,1828.0,0
47,730000,3,2.0,1.0,12,1208.0,1
64,580000,3,2.0,2.0,12,1237.0,0
34,670000,2,2.0,1.0,16,890.0,1
47,820000,1,1.0,1.0,16,735.0,1
61,430000,3,3.0,1.0,12,1335.0,1
61,200000,3,1.0,1.0,8,653.0,1
61,630000,2,2.0,2.0,12,1098.0,1
76,845000,4,3.0,2.0,2,20.0,1
61,380000,3,2.0,1.0,12,1169.0,1
73,550000,3,2.0,1.0,12,1260.0,0
68,1450000,4,4.0,2.0,12,2140.0,0
11,638000,3,2.0,2.0,12,1232.0,1
11,588000,2,2.0,2.0,12,1032.0,1
40,920000,2,3.0,1.0,16,1015.0,0
11,538000,3,3.0,2.0,12,1003.0,2
11,500000,3,2.0,1.0,12,1080.0,1
11,550000,3,3.0,2.0,12,1003.0,2
61,420000,3,2.0,2.0,16,842.0,1
61,380000,3,2.0,1.0,16,925.0,1
61,400000,2,2.0,1.0,16,900.0,1
61,1200000,3,2.0,2.0,12,1414.0,1
65,730000,2,2.0,2.0,16,1025.0,0
64,390000,3,2.0,1.0,12,1045.0,1
58,690000,3,3.0,2.0,12,1262.0,1
22,1770000,1,2.0,1.0,16,1152.0,1
68,1400000,4,4.0,2.0,12,2140.0,0
76,890000,4,3.0,4.0,2,2800.0,1
23,1079000,2,2.0,2.0,16,1410.0,1
59,850000,3,4.0,1.0,12,1381.0,1
45,398000,3,2.0,1.0,12,980.0,2
61,530000,4,2.0,2.0,12,1378.0,2
61,538000,3,2.0,1.0,12,1473.0,1
61,520000,3,2.0,2.0,12,1100.0,2
61,490000,3,2.0,1.0,16,1040.0,1
61,450000,4,2.0,3.0,12,1328.0,2
61,498000,4,2.0,3.0,12,1328.0,2
61,545000,3,2.0,2.0,12,908.0,2
33,420000,3,2.0,1.0,8,1200.0,0
25,295000,3,2.0,1.0,8,910.0,1
